Nacionalidad;Pais_de_nacimiento;Periodo;Total
Bulgaria;Total;2014S1;2112
Bulgaria;Total;2013S2;2694
Bulgaria;Total;2013S1;2253
Bulgaria;Total;2012S2;2930
Bulgaria;Total;2012S1;3294
Bulgaria;Total;2011S2;5495
Bulgaria;Total;2011S1;4395
Bulgaria;Total;2010S2;4783
Bulgaria;Total;2010S1;3603
Bulgaria;Total;2009S2;4362
Bulgaria;Total;2009S1;3318
Bulgaria;Total;2008S2;4653
Bulgaria;Total;2008S1;6113
Bulgaria;España;2022S1;92
Bulgaria;España;2021S2;24
Bulgaria;España;2021S1;15
Bulgaria;España;2020S2;19
Bulgaria;España;2020S1;20
Bulgaria;España;2019S2;36
Bulgaria;España;2019S1;15
Bulgaria;España;2018S2;21
Bulgaria;España;2018S1;19
Bulgaria;España;2017S2;60
Bulgaria;España;2017S1;62
Bulgaria;España;2016S2;63
Bulgaria;España;2016S1;71
Bulgaria;España;2015S2;56
Bulgaria;España;2015S1;62
Bulgaria;España;2014S2;54
Bulgaria;España;2014S1;51
Bulgaria;España;2013S2;58
Bulgaria;España;2013S1;46
Bulgaria;España;2012S2;55
Bulgaria;España;2012S1;68
Bulgaria;España;2011S2;44
Bulgaria;España;2011S1;49
Bulgaria;España;2010S2;38
Bulgaria;España;2010S1;38
Bulgaria;España;2009S2;26
Bulgaria;España;2009S1;34
Bulgaria;España;2008S2;24
Bulgaria;España;2008S1;26
Bulgaria;Extranjero;2022S1;1625
Bulgaria;Extranjero;2021S2;1694
Bulgaria;Extranjero;2021S1;1396
Bulgaria;Extranjero;2020S2;1780
Bulgaria;Extranjero;2020S1;1538
Bulgaria;Extranjero;2019S2;2731
Bulgaria;Extranjero;2019S1;2818
Bulgaria;Extranjero;2018S2;2720
Bulgaria;Extranjero;2018S1;2603
Bulgaria;Extranjero;2017S2;3038
Bulgaria;Extranjero;2017S1;2890
Bulgaria;Extranjero;2016S2;2548
Bulgaria;Extranjero;2016S1;2468
Bulgaria;Extranjero;2015S2;2498
Bulgaria;Extranjero;2015S1;2304
Bulgaria;Extranjero;2014S2;2533
Bulgaria;Extranjero;2014S1;2061
Bulgaria;Extranjero;2013S2;2637
Bulgaria;Extranjero;2013S1;2206
Bulgaria;Extranjero;2012S2;2875
Bulgaria;Extranjero;2012S1;3226
Bulgaria;Extranjero;2011S2;5451
Bulgaria;Extranjero;2011S1;4346
Bulgaria;Extranjero;2010S2;4745
Bulgaria;Extranjero;2010S1;3564
Bulgaria;Extranjero;2009S2;4336
Bulgaria;Extranjero;2009S1;3284
Bulgaria;Extranjero;2008S2;4629
Bulgaria;Extranjero;2008S1;6087
Dinamarca;Total;2022S1;493
Dinamarca;Total;2021S2;510
Dinamarca;Total;2021S1;334
Dinamarca;Total;2020S2;346
Dinamarca;Total;2020S1;255
Dinamarca;Total;2019S2;470
Dinamarca;Total;2019S1;431
Dinamarca;Total;2018S2;474
Dinamarca;Total;2018S1;448
Dinamarca;Total;2017S2;452
Dinamarca;Total;2017S1;430
Dinamarca;Total;2016S2;410
